Category|Subcategory|Region|Language(s)|Title|Brief description|URL|Source type|Update cadence|Ingestion / license notes|AI-safe fit
Daily news & current affairs|Germany: European perspectives|Europe/Germany|de/en/fr|"euro|topics"|European press review from Germany's Federal Agency for Civic Education.|https://www.eurotopics.net/|Press review|Daily|Summaries/links; check bpb/eurotopics terms before full-text ingestion.|B – terms-check/variable
Daily news & current affairs|Germany: business news|Germany|de|Handelsblatt|German business and financial newspaper with markets, economy and corporate news.|https://www.handelsblatt.com/|News site|Continuous|Mostly copyrighted/subscription content; ingest metadata or licensed content only.|C – licensed/metadata-only
Daily news & current affairs|Germany: digital rights|Germany|de|netzpolitik.org RSS|German digital rights, surveillance, platform regulation and internet policy reporting.|https://netzpolitik.org/feed/|News feed|Continuous|Check Creative Commons and publisher terms per page; not all use cases are permitted.|B – terms-check/variable
Daily news & current affairs|Germany: investigative/fact-based|Germany|de|CORRECTIV|German nonprofit investigative newsroom and fact-checking organization.|https://correctiv.org/|News / fact-checking|Regular|Check article-specific licensing; do not assume bulk full-text rights.|B – terms-check/variable
Daily news & current affairs|Germany: national press|Germany|de|DER SPIEGEL RSS|Major German news magazine feed for politics, economy, society, science and culture.|https://www.spiegel.de/index.rss|News feed|Continuous|Copyrighted commercial journalism; full-text ingestion requires permission/license.|C – licensed/metadata-only
Daily news & current affairs|Germany: national press|Germany|de|Frankfurter Allgemeine Zeitung|German national newspaper with politics, business, finance and culture coverage.|https://www.faz.net/|News site|Continuous|Copyrighted/paywalled content; use links/metadata unless licensed.|C – licensed/metadata-only
Daily news & current affairs|Germany: national press|Germany|de|Süddeutsche Zeitung RSS|German daily newspaper feed with national, international, culture and opinion coverage.|https://www.sueddeutsche.de/news/rss|News feed|Continuous|Copyrighted journalism; full-text use requires permission/license.|C – licensed/metadata-only
Daily news & current affairs|Germany: national press|Germany|de|ZEIT ONLINE News RSS|Current German and international news from ZEIT ONLINE.|https://newsfeed.zeit.de/news/index|News feed|Continuous|RSS metadata/snippets only unless licensed; publisher content is copyrighted.|C – licensed/metadata-only
Daily news & current affairs|Germany: news agency|Germany|de|Deutsche Presse-Agentur (dpa)|Germany's major news agency for text, photo, graphics and data products.|https://www.dpa.com/de/|News agency|Continuous|Professional licensed content; use only with an appropriate dpa agreement.|C – licensed/metadata-only
Daily news & current affairs|Germany: official government news|Germany|de|Bundesregierung RSS – Aktuell|Official RSS feed for current German Federal Government news and announcements.|https://www.bundesregierung.de/SiteGlobals/Functions/RSSFeed/DE/RSSNewsfeed/RSS_Breg_aktuell/RSSNewsfeed.xml|Official news feed|Daily/regular|Official public information; reuse terms still apply, especially photos and third-party material.|B – terms-check/variable
Daily news & current affairs|Germany: politics/society|Germany|de|taz – die tageszeitung|German daily newspaper known for politics, society, environment and culture reporting.|https://taz.de/|News site|Continuous|Copyrighted journalism; use according to publisher terms.|C – licensed/metadata-only
Daily news & current affairs|Germany: press releases|Germany|de|Presseportal RSS|Newswire-style German press release feed from organizations, agencies and public bodies.|https://www.presseportal.de/rss/presseportal.rss2|Press release feed|Continuous|Press releases may be reusable but rights vary by submitter; verify before ingesting full text.|B – terms-check/variable
Daily news & current affairs|Germany: public-service news|Global/Germany|en|Deutsche Welle – English RSS|English-language DW feed for German, European and world news.|https://rss.dw.com/rdf/rss-en-all|News feed|Continuous|RSS summaries/links; full-text rights depend on DW terms.|C – licensed/metadata-only
Daily news & current affairs|Germany: public-service news|Germany|de|Deutsche Welle – German RSS|German international public broadcaster news feed covering Germany and global affairs.|https://rss.dw.com/rdf/rss-de-all|News feed|Continuous|RSS summaries/links; full-text rights depend on DW terms.|C – licensed/metadata-only
Daily news & current affairs|Germany: public-service news|Germany|de|Deutschlandfunk RSS-Angebot|Official RSS directory for Deutschlandfunk news, politics, culture, science and audio formats.|https://www.deutschlandfunk.de/rss-angebot-102.html|News feed directory|Continuous|Use feed metadata/snippets unless content terms permit more.|C – licensed/metadata-only
Daily news & current affairs|Germany: public-service news|Germany|de|Tagesschau RSS – Alle Meldungen|ARD public-service news feed with current German and international headlines.|https://www.tagesschau.de/infoservices/alle-meldungen-100~rss2.xml|News feed|Continuous|RSS headlines/summaries only; full articles are copyrighted. Check ARD terms before full-text ingestion.|C – licensed/metadata-only
Daily news & current affairs|Germany: public-service news|Germany|de|ZDFheute|Public-service digital news from ZDF with politics, economy, science, sport and explainers.|https://www.zdfheute.de/|News site|Continuous|Copyrighted journalism; ingest only with permission or as links/metadata.|C – licensed/metadata-only
